sha1,company_name
2051135645,2051135645
2051136151,2051136151
2051136876,2051136876
2051137881,2051137881
2051138418,2051138418
2051139206,2051139206
2051139541,2051139541
2051139566,2051139566
2051139606,2051139606
2051139749,2051139749
2051141196,2051141196
2051142601,2051142601
2051142888,2051142888
2051143688,2051143688
2051144475,2051144475
2051144601,2051144601
2051145320,2051145320
2051145344,2051145344
2051145395,2051145395
2051145680,2051145680
2051145999,2051145999
2051147079,2051147079
2051147896,2051147896
2051148006,2051148006
2051148008,2051148008
2051148308,2051148308
2051148400,2051148400
2051148458,2051148458
2051149479,2051149479
2051149940,2051149940
2051150319,2051150319
2051151246,2051151246
2051151286,2051151286
2051151295,2051151295
2051151742,2051151742
2051151957,2051151957
2051152012,2051152012
2051152183,2051152183
2051152443,2051152443
2051152928,2051152928
2051153189,2051153189
2051153521,2051153521
2051153866,2051153866
2051154505,2051154505
2051154596,2051154596
2051154787,2051154787
2051155012,2051155012
2051155312,2051155312
2051155925,2051155925
2051156078,2051156078
2051156384,2051156384
2051156394,2051156394
2051156755,2051156755
2051156766,2051156766
2051158193,2051158193
2051159244,2051159244
2051159519,2051159519
2051159605,2051159605
2051159803,2051159803
2051161090,2051161090
2051161398,2051161398
2051161689,2051161689
2051161801,2051161801
2051162753,2051162753
2051162800,2051162800
2051163018,2051163018
2051165166,2051165166
2051165205,2051165205
2051165229,2051165229
2051165252,2051165252
2051165970,2051165970
2051166298,2051166298
2051167109,2051167109
2051167116,2051167116
2051167881,2051167881
2051168629,2051168629
2051169992,2051169992
2051170518,2051170518
2051170911,2051170911
2051171033,2051171033
2051171777,2051171777
2051172176,2051172176
2051173030,2051173030
2051173461,2051173461
2051174634,2051174634
2051175437,2051175437
2051176443,2051176443
2051176778,2051176778
2051177858,2051177858
2051177922,2051177922
2051178226,2051178226
2051178495,2051178495
2051178596,2051178596
2051178702,2051178702
2051178779,2051178779
2051178923,2051178923
2051178999,2051178999
2051179204,2051179204
2051179649,2051179649
2051180529,2051180529
2051180794,2051180794
2051181815,2051181815
2051182473,2051182473
205118251,205118251
2051182868,2051182868
205118305,205118305
2051183204,2051183204
2051183401,2051183401
2051183471,2051183471
2051183609,2051183609
2051184425,2051184425
2051184819,2051184819
205118494,205118494
2051185615,2051185615
2051186739,2051186739
2051187688,2051187688
2051187689,2051187689
2051188820,2051188820
2051190006,2051190006
2051190936,2051190936
2051191844,2051191844
2051192056,2051192056
2051192453,2051192453
2051192594,2051192594
2051192755,2051192755
2051192885,2051192885
2051193728,2051193728
2051194448,2051194448
2051194752,2051194752
2051194941,2051194941
2051195062,2051195062
2051196023,2051196023
2051196445,2051196445
2051196966,2051196966
2051197126,2051197126
2051197174,2051197174
2051197413,2051197413
2051198808,2051198808
2051199660,2051199660
2051199721,2051199721
2051200648,2051200648
2051201179,2051201179
2051201341,2051201341
