work_id,related_work_id
4310960001,1552243836
4310960001,2219514562
4310960001,2285855108
4310960001,2405789574
4310960001,2552409608
4310960001,2742773800
4310960001,2891541693
4310960001,3038321298
4310960001,3080465338
4310960001,4310960001
2051135645,648151748
2051135645,2076696471
2051135645,1970721807
2051135645,2580773560
2051135645,2400324948
2051135645,1981953106
2051135645,2748952813
2051135645,3031052312
2051135645,4389568370
2051135645,3032375762
2051136151,2367582941
2051136151,2082914599
2051136151,2756570351
2051136151,2367499065
2051136151,2102015927
2051136151,2132500134
2051136151,2606427896
2051136151,4211139140
2051136151,2007805353
2051136151,2061864336
2051136876,2074723444
2051136876,1779172654
2051136876,4250091031
2051136876,2364175713
2051136876,119418178
2051136876,1991328382
2051136876,4283802959
2051136876,2019099201
2051136876,2031234266
2051136876,99320780
2051137881,2560832372
2051137881,1547880708
2051137881,1535778368
2051137881,2126629588
2051137881,2057114380
2051137881,2187375024
2051137881,4284892816
2051137881,3207839504
2051137881,2356876784
2051137881,2335515558
2051138418,2935759653
2051138418,3105167352
2051138418,54078636
2051138418,2954470139
2051138418,1501425562
2051138418,2902782467
2051138418,3084825885
2051138418,2298861036
2051138418,3148032049
2051138418,4206528341
2051139206,2899084033
2051139206,2748952813
2051139206,4210715409
2051139206,2378491075
2051139206,3200648804
2051139206,1985799102
2051139206,2521781036
2051139206,2159079264
2051139206,2368182051
2051139206,4361860456
2051139541,1992468948
2051139541,1554135241
2051139541,2087489293
2051139541,2010792879
2051139541,2066334461
2051139541,2114447715
2051139541,2401207827
2051139541,2132236695
2051139541,2071725693
2051139541,1957057114
2051139566,2532008419
2051139566,2749581084
2051139566,2908394980
2051139566,1546101565
2051139566,2592828040
2051139566,2748952813
2051139566,2899084033
2051139566,2098567841
2051139566,3124209601
2051139566,2238969010
2051139606,2034776544
2051139606,2794737190
2051139606,2418477374
2051139606,2954109055
2051139606,4245115340
2051139606,4292658646
2051139606,1989777462
2051139606,3000740367
2051139606,2064733100
2051139606,2511099556
2051139749,2063435537
2051139749,4244132909
2051139749,1980996639
2051139749,2109089718
2051139749,1987227393
2051139749,2100214054
2051139749,1974976320
2051139749,2055969471
2051139749,2033330638
2051139749,1970816245
2051141196,4384702900
2051141196,2393158688
2051141196,2289887497
2051141196,2985758709
2051141196,2053744858
2051141196,3146460216
2051141196,2130160959
2051141196,2064251992
2051141196,2059915538
2051141196,1859326399
2051142601,1976954923
2051142601,2062977918
2051142601,2394968819
2051142601,2779460336
2051142601,2114719882
2051142601,2401668209
2051142601,2080270744
2051142601,3117441780
2051142601,2125141074
2051142601,2993572186
2051142888,2159059820
2051142888,2544813365
2051142888,2017110803
2051142888,2082593890
2051142888,2137420069
2051142888,1968190056
2051142888,2389793738
2051142888,2376208682
2051142888,2003090625
2051142888,2924107927
2051143688,2748952813
2051143688,2390279801
2051143688,2358668433
2051143688,2376932109
2051143688,2001405890
2051143688,2382290278
2051143688,2350741829
2051143688,2130043461
2051143688,2530322880
2051143688,1596801655
2051144475,2115666905
2051144475,1702821
2051144475,1484056900
2051144475,1989965977
2051144475,2372950632
