work_id,topic_id,score
2051182473,13057,0.1894
2051182473,13337,0.1877
2051182473,10628,0.1868
205118251,11066,0.9997
205118251,11925,0.9921
205118251,12253,0.9694
2051182868,11372,0.9956
2051182868,14225,0.9947
2051182868,14474,0.9935
205118305,11477,0.4112
2051183204,11484,0.6054
2051183204,11517,0.5882
2051183401,13253,0.9952
2051183401,12191,0.9943
2051183401,11746,0.9793
2051183471,11715,0.9865
2051183609,12335,0.805
2051184425,13138,0.9923
2051184425,11508,0.9909
2051184425,11762,0.9544
2051184819,13042,0.9978
2051184819,11461,0.9717
2051184819,11770,0.9652
205118494,12493,0.912
2051185615,11429,0.9956
2051185615,10306,0.9949
2051185615,10666,0.9702
2051187688,12202,0.9727
2051187688,11222,0.9641
2051187688,10386,0.9519
2051187689,10224,1.0
2051187689,10048,1.0
2051187689,10527,0.9996
2051188820,10209,0.9892
2051188820,10327,0.96
2051188820,12728,0.9547
2051190006,12186,0.9834
2051190006,12524,0.9677
2051190006,10564,0.9625
2051190936,11134,0.9999
2051190936,10183,0.9996
2051190936,10522,0.9989
2051191844,11810,0.8187
2051192056,12909,0.9564
2051192056,14402,0.9505
2051192056,13379,0.9408
2051192453,11881,0.9678
2051192453,12358,0.9283
2051192594,13641,0.9508
2051192755,10080,1.0
2051192755,11392,0.9995
2051192755,10273,0.9948
2051192885,11934,0.9955
2051192885,12655,0.9096
2051193728,12006,0.9342
2051194448,11586,0.9999
2051194448,11356,0.998
2051194448,10549,0.9962
2051194752,12453,0.1707
2051194752,11930,0.1701
2051194941,10251,0.9998
2051194941,10477,0.9984
2051194941,10039,0.9981
2051195062,11701,0.9891
2051195062,12717,0.9689
2051195062,12788,0.9593
2051196023,10103,0.5072
2051196445,10591,0.431
2051196966,10499,0.9327
2051196966,11027,0.926
2051197126,11425,0.9962
2051197174,11894,0.9961
2051197174,12918,0.9887
2051197174,10350,0.9012
2051197413,11484,0.9892
2051197413,12019,0.9738
2051197413,12917,0.9302
2051198808,12339,0.8394
2051198808,10391,0.8237
2051198808,14514,0.7953
2051199660,11692,0.9996
2051199660,12759,0.9956
2051199660,10283,0.9776
2051199721,11930,0.9988
2051199721,10217,0.9962
2051199721,10372,0.994
2051200648,11216,0.9728
2051200648,10818,0.9574
2051201179,12752,0.6387
2051201341,11378,0.9993
2051201341,10069,0.9889
2051201341,10575,0.9832
2051201651,10544,0.994
2051201651,10846,0.9908
2051201651,10205,0.9876
2051201833,12449,0.6432
2051202336,10592,0.9998
2051202336,11242,0.9989
2051202336,12099,0.9939
2051202427,14378,0.9982
2051202427,11641,0.989
2051202427,11691,0.983
2051202558,12021,0.9944
2051202558,14173,0.9846
2051202558,13944,0.9737
2051202794,14162,0.9761
2051202794,14149,0.9714
2051202794,12624,0.9322
2051203106,11499,0.1864
2051203244,11637,0.9881
2051203244,10702,0.9337
2051203244,10022,0.9243
2051203478,12628,0.9918
2051203478,11012,0.9803
2051203478,10402,0.9745
2051205600,14459,0.9751
2051205600,13023,0.954
2051205600,13304,0.9441
2051205938,10048,0.999
2051205938,10093,0.9982
2051205938,10224,0.9971
2051206001,12477,0.9419
2051206001,13651,0.9399
2051206001,12298,0.9375
2051206521,13780,0.9769
2051206521,12616,0.9536
2051206521,11859,0.9474
2051207160,10575,1.0
2051207160,10125,0.9997
2051207160,12146,0.9949
2051207431,13396,0.9832
2051207431,11475,0.9193
2051207645,10580,0.999
2051207645,10371,0.999
2051207645,11020,0.9973
2051207913,10061,0.9998
2051207913,12351,0.9988
2051207913,11680,0.9931
2051208169,12760,0.9999
2051208169,10642,0.9983
2051208169,10781,0.9943
2051208216,14378,0.9496
2051208216,12043,0.9471
2051208216,14324,0.9367
2051209215,11172,0.9991
2051209215,11566,0.9991
2051209215,11322,0.9543
2051209437,10460,0.9997
2051209437,12371,0.9968
2051209437,10723,0.9927
2051209728,10388,1.0
2051209728,11017,0.9996
2051209728,12357,0.996
2051210832,13717,0.8863
2051210832,13535,0.8696
2051210832,13371,0.8170000000000001
2051211026,12166,0.9995
2051211026,10413,0.9984
2051211026,10001,0.9974
2051211043,12790,0.6726
2051211688,11274,0.9946
2051211688,10949,0.9925
2051211688,13201,0.9924
2051211866,10683,0.9942
2051211866,10908,0.9931
2051211866,10432,0.991
2051212641,10329,0.9999
2051212641,11728,0.9799
2051212641,12631,0.9771
2051214037,10360,0.9939
2051214037,11008,0.9704
2051214037,10466,0.906
2051214119,14285,0.9988
2051214119,10602,0.9984
2051214119,10835,0.9983
2051214562,12341,0.9364
2051214828,10310,0.9998
2051214828,11850,0.9995
2051214828,11643,0.9834
2051215193,10208,0.9644
2051215193,11959,0.9332
2051215735,10322,0.9988
2051215735,10675,0.9969
2051215735,10065,0.9935
2051215862,10171,0.9686
2051215862,10140,0.9276
2051215862,11617,0.922
2051216447,13404,0.971
2051216447,11801,0.9579
2051216447,10110,0.9463
2051216450,10520,1.0
2051216450,11002,0.9886
2051216450,10433,0.9832
2051216705,10351,0.9932
2051217243,11528,1.0
2051217243,12618,0.9968
2051217243,11836,0.9867
2051217301,10379,0.9937
2051217301,10364,0.9589
2051217692,11097,0.9996
2051217692,10510,0.9967
2051217692,12207,0.9925
2051217715,14465,0.9993
2051217715,14512,0.96
2051217715,12787,0.9529
2051217748,13569,0.9992
2051217748,10134,0.9978
2051217748,12731,0.9952
2051218676,10044,0.9984
2051218676,11162,0.9937
2051218676,10829,0.9908
2051218885,12793,0.0864
2051218944,14329,0.9855
2051218944,12471,0.9808
2051218944,13705,0.9766
2051219096,11733,0.9999
2051219096,11212,0.9966
2051219096,12613,0.9965
2051219111,13267,0.9737
2051219111,11416,0.9712
2051219111,11245,0.9564
2051219908,10125,0.9999
2051219908,10575,0.9992
2051219908,11873,0.999
2051220474,12409,0.8807
2051220474,14426,0.8598
2051220474,13445,0.8563
2051220735,10273,0.9974
2051220735,12079,0.989
2051220735,10444,0.9875
2051221079,12760,0.9956
2051221079,10732,0.989
2051221079,12852,0.9458
2051221318,13531,0.9982
2051221318,10049,0.9978
2051221318,11853,0.9977
2051221393,10688,0.9902
2051221393,10320,0.9832
2051221393,11698,0.9753
2051221450,13445,0.6886
2051221450,12409,0.6338
2051221670,11020,1.0
2051221670,10031,0.9911
2051221670,11510,0.9785
2051221680,10549,0.1111
2051222317,14283,0.9965
2051222317,13469,0.9925
2051222317,13961,0.9307
2051222757,11556,0.7546
2051222757,13564,0.6938
2051222757,10446,0.6757
2051222809,11563,0.9924
