concept_id,ancestor_id
105794591,139358910
105794591,32909587
105794591,178790620
105794591,62520636
105794591,185592680
105794591,121332964
127086826,62520636
127086826,97355855
127086826,121332964
144403538,108741685
144403538,101044782
144403538,90119067
144403538,134306372
144403538,33923547
169426311,56200935
169426311,146978453
169426311,78519656
169426311,97355855
169426311,127413603
169426311,121332964
191463242,32270708
191463242,20593774
191463242,121040770
191463242,203087015
191463242,84114770
191463242,62520636
191463242,121332964
199789176,86670359
199789176,87073359
199789176,196843134
199789176,104317684
199789176,173758957
199789176,55493867
199789176,59822182
199789176,95444343
199789176,18903297
199789176,505870484
199789176,54355233
199789176,86803240
199789176,185592680
27036048,100899422
27036048,14394260
27036048,136119220
27036048,202444582
27036048,33923547
2776446210,18903297
2776446210,151730666
2776446210,90856448
2776446210,86803240
2776446210,127313418
2776551893,84114770
2776551893,62520636
2776551893,121332964
2777001577,142724271
2777001577,126838900
2777001577,141071460
2777001577,71924100
2777223228,2776250704
2777223228,2780902042
2777223228,10146269
2777223228,71315377
2777223228,2779234561
2777223228,77411442
2777223228,2780026642
2777223228,105702510
2777223228,55493867
2777223228,134018914
2777223228,54355233
2777223228,126322002
2777223228,86803240
2777223228,185592680
2777223228,71924100
2778310818,2777801237
2778310818,15920480
2778310818,521977710
2778310818,159985019
2778310818,46141821
2778310818,178790620
2778310818,185592680
2778310818,192562407
2778310818,121332964
2778382403,94915269
2778382403,119599485
2778382403,120665830
2778382403,76155785
2778382403,41008148
2778382403,127413603
2778382403,121332964
2778666239,2776919658
2778666239,2778913445
2778666239,2778163477
2778666239,55493867
2778666239,134018914
2778666239,126322002
2778666239,86803240
2778666239,185592680
2778666239,71924100
2778882282,2781259782
2778882282,67705224
2778882282,104317684
2778882282,55493867
2778882282,54355233
2778882282,86803240
2778882282,185592680
2778989716,107459253
2778989716,145103041
2778989716,104317684
2778989716,55493867
2778989716,54355233
2778989716,86803240
2778989716,185592680
2779097976,161790260
2779097976,549387045
2779097976,55493867
2779097976,179104552
2779097976,191897082
2779097976,178790620
2779097976,86803240
2779097976,185592680
2779097976,192562407
2780124186,2776946954
2780124186,147483822
2780124186,8891405
2780124186,54355233
2780124186,203014093
2780124186,86803240
2780124186,71924100
2780178557,2778803642
2780178557,2778761015
2780178557,104317684
2780178557,55493867
2780178557,54355233
2780178557,86803240
2780178557,185592680
2780217532,2776031079
2780217532,2780294150
2780217532,100544194
2780217532,55493867
2780217532,31903555
2780217532,178790620
2780217532,86803240
2780217532,185592680
2780653195,115880899
2780653195,88160329
2780653195,201289731
2780653195,2816523
2780653195,166957645
2780653195,147176958
2780653195,18903297
2780653195,505870484
2780653195,114793014
2780653195,78519656
2780653195,111368507
2780653195,151730666
2780653195,86803240
2780653195,127413603
2780653195,205649164
2780653195,127313418
2780653195,95457728
2780741605,2778489309
2780741605,173758957
2780741605,85323577
2780741605,59822182
2780741605,18903297
2780741605,90856448
2780741605,86803240
2781226620,188947578
2781226620,204787440
2781226620,142724271
2781226620,71924100
2781271947,132954091
2781271947,118615104
2781271947,134306372
2781271947,202444582
2781271947,33923547
2781378340,2778894183
2781378340,166957645
2781378340,59822182
2781378340,86803240
2781378340,205649164
2781378340,95457728
2781389623,149810388
2781389623,139940560
2781389623,31258907
2781389623,120314980
2781389623,50522688
2781389623,111919701
2781389623,77805123
2781389623,41008148
2781389623,162324750
2781389623,15744967
2781442239,161790260
2781442239,55493867
2781442239,178790620
2781442239,86803240
2781442239,185592680
2781460488,2779494336
2781460488,2910216633
2781460488,80093799
2781460488,2777795800
2781460488,2777001951
2781460488,2779066055
2781460488,164705383
2781460488,134018914
2781460488,54355233
2781460488,126322002
2781460488,142724271
2781460488,126838900
2781460488,141071460
2781460488,86803240
2781460488,71924100
2908793008,2778218555
2908793008,191897082
2908793008,151730666
2908793008,86803240
