institution_id,associated_institution_id,relationship
4210090818,2802080466,parent
4210112154,4210117495,parent
4210148204,4210124355,parent
2800880919,2802595907,related
4210120474,4210145371,parent
4210123665,1280568170,parent
4210090062,4210128646,parent
4210120497,4210152684,parent
4210110924,4210158879,parent
4210137910,2800156249,child
4210137910,2801021527,child
4210092479,4210090277,parent
4210134745,34276124,parent
4210139739,43275575,parent
4210111555,1326498283,parent
4210111555,1294671590,parent
4210111555,188626449,parent
4210111555,90669466,parent
4210111555,198415970,parent
4210111555,113428412,parent
4210141066,4210115659,parent
4210101334,174947986,parent
4210089438,4210143247,parent
4210103540,293158433,parent
4210126177,4210164742,parent
4210117123,4210123848,parent
4210127479,4210126500,parent
4210129147,99507834,parent
2801702922,4210090969,child
4210095994,4210122682,parent
4210112537,4210096113,parent
4210114195,4210098812,parent
4210158646,4210166758,parent
4210116928,142262071,parent
4210126283,4210086125,parent
4210126598,154526488,parent
4210164250,4210105688,parent
4210126836,122140584,parent
4210103133,2802373619,parent
4210088401,202391551,parent
4210089901,4210094700,child
4210089901,4210106516,child
4210089901,4210134130,child
4210089901,4210165761,child
4210089901,4210094199,child
4210089901,4210140403,child
4210089901,4210139971,parent
4210094986,1314135232,parent
4210094986,52357470,parent
4210095481,2802373619,parent
4210111653,4210115336,child
4210111653,4210162245,child
4210111653,4210099347,child
4210111653,1313323035,parent
4210115479,202391551,parent
4210143318,74760111,parent
4210163444,202391551,parent
4210135016,32923980,parent
4210109649,4210089758,parent
4210110416,2799351866,parent
4210097520,4210093513,child
3132770690,884992110,child
3132770690,929830851,child
4210105774,4210116274,child
4210105774,4210090250,child
4210105774,4210165461,child
4210105774,4210112643,child
4210105774,4210105651,child
4210105774,4210161065,child
4210105774,154526488,parent
4210107888,4210103048,parent
4210129507,4210133341,parent
4210165176,4210107876,child
4210159563,825935405,parent
4210119564,4210097438,child
4210093475,4210092206,parent
4210120752,42066560,parent
4210143980,56822791,related
4210157735,154526488,parent
4210125332,4210158500,parent
4210159011,1314913594,parent
4210159337,4210087895,parent
4210108992,1321404777,parent
4210141027,2799334681,parent
4210128799,4210087895,parent
4210115091,1339091601,parent
4210104785,1328594524,parent
4210139574,4210105838,parent
4210132566,22138158,parent
4210130001,200439574,parent
4210088289,4210139712,parent
4210098551,2935922141,parent
4210124107,4210087413,parent
4210162282,170138621,parent
4210163294,4210165492,parent
4210162761,4210160774,parent
4210162761,102197404,parent
4210126347,4210096427,parent
4210126347,2800921988,parent
4210126347,2279609970,parent
4210122742,4210128558,parent
4210154222,4210155258,parent
4210109303,4210112479,parent
4210147507,131827901,parent
4210112249,4210146667,parent
4210162449,4210137298,parent
4210134319,55271957,parent
4210113974,4210117983,parent
4210151990,118019719,parent
3143240863,4210132711,child
4210094152,4210091104,parent
4210136866,28806726,parent
4210124824,4210095849,parent
4210086847,4210127145,parent
4210166814,4210145409,parent
4210126749,1289702989,parent
4210150159,2799969541,parent
4210100259,4210122994,parent
4210098662,4210102001,parent
4210116634,4210136798,parent
4210157512,4210100891,parent
4210116100,2948539688,parent
4210118899,4210127135,parent
4210144117,4210093708,child
4210149819,2799829267,parent
4210158636,2801351115,parent
4210122414,2802798279,parent
4210122414,4210135160,parent
4210152037,4210109164,parent
4210094199,100532134,parent
4210094199,4210089901,parent
4210094199,203339264,parent
4210094199,113428412,parent
4210103560,1305429183,parent
4210115174,4210139047,parent
4210133507,4210165303,parent
4210110506,123791789,parent
4210086135,4210113573,parent
4210137665,926333354,parent
4210136091,4210138636,parent
4210155482,4210150315,parent
4210095163,4210152329,parent
4210106760,4210166818,parent
4210123958,4210097636,child
4210123958,4210087864,child
4210123958,4210147357,child
4210123958,4210144306,child
4210123958,4210114686,child
4210108807,1337719021,parent
4210108807,160993911,parent
4210161316,4210086670,parent
4210090518,4210135308,parent
4210092206,4210107988,child
4210092206,4210093475,child
4210092206,162361429,child
4210120960,4210145978,child
4210120960,3133232569,child
4210120960,4210137589,child
4210120960,4210131812,child
4210120960,4210096667,child
4210120960,4210164949,child
4210120960,4210124973,child
4210120960,4210164058,child
4210120960,4210153290,child
4210120960,4210156983,child
4210120960,4210122877,child
4210120960,4210094873,child
4210120960,4210127986,child
4210120960,4210162819,child
4210120960,4210111809,child
4210120960,4210128964,child
4210120960,4210128962,child
4210120960,4210105452,child
4210120960,4210106186,child
4210120960,4210159028,child
4210120960,4210116694,child
4210120960,4210114361,child
4210120960,1313323035,parent
4210140003,2802080466,parent
4210088884,4210104756,parent
4210088607,149851306,parent
4210108494,4210123263,parent
4210161484,21491767,parent
4210161484,149758196,parent
4210161484,4210095849,parent
4210161484,97188460,parent
4210161484,68947357,parent
4210161484,195731000,parent
4210161484,142476485,parent
4210161484,4210143116,parent
4210163797,2799808293,parent
4210165867,1292875679,parent
4210119769,1330589705,parent
4210136849,2802965805,parent
4210121492,4210148549,parent
4210114310,4210132838,parent
4210142715,1342911587,parent
4210159537,4210149897,parent
4210146610,127558574,parent
4210100891,4210157512,child
4210153994,4210163459,child
4210153994,4210117708,child
4210136341,4210096350,parent
2800744299,2799601127,parent
2971213225,126859394,parent
4210130508,154526488,parent
4210130508,4210091279,parent
4210130179,122754148,parent
4210158062,4210129595,child
4210101003,4210127675,parent
4210096883,4210115874,parent
4210161021,121934306,related
4210132938,4210088980,parent
4210122280,4210100473,parent
4210106945,4210112383,parent
4210156239,4210088513,parent
4210101754,4210167168,parent
4210155241,142262071,parent
4210137559,286970279,parent
4210091472,4210135308,parent
4210134070,4210122143,parent
4210099472,4210162527,parent
4210164600,1305840828,parent
2801522713,199936661,related
4210101976,3018075036,parent
4210151586,4210144479,parent
4210126889,187986737,parent
4210126889,4210150854,parent
4210126889,159885104,parent
4210125510,4210126915,parent
4210166119,220619192,parent
2802073677,4210123858,parent
4210110472,2802853861,parent
4210104712,1332737386,parent
4210167064,4210116108,parent
4210121231,138285227,parent
4210107968,4210165260,parent
4210117707,1292974536,parent
4210127997,4210127574,parent
4210106548,4210088555,parent
4210138404,4210152684,parent
4210107254,4210094622,child
4210107254,4210132287,child
4210107254,4210088668,parent
4210124482,4210119581,parent
4210136505,4210127009,parent
4210147700,4210151177,parent
4210094009,4210118352,parent
4210100491,4210088668,parent
4210114899,123791789,parent
2990368646,2802232723,parent
4210149067,230744626,parent
4210130730,4210151693,parent
4210164127,4210162965,parent
3108100993,1300891529,parent
4210096232,4210113995,child
4210113796,2799716896,parent
4210158377,4210140804,parent
4210113054,154526488,parent
4210094529,123754550,parent
4210139299,4210149166,parent
4210106507,1313334418,parent
