work_id,source_id,landing_page_url,pdf_url,is_oa,version,license
2051162753,10058814,10.1097/00006676-199501000-00006,,False,,
2051162753,4306525036,7899459,,False,,
2051162800,4210220607,10.1055/s-2007-986305,,False,,
2051163018,101419675,10.4061/2011/217276,archive/2011/217276.pdf,True,publishedVersion,
2051163018,4306400806,articles/pmc3278921,articles/pmc3278921?pdf=render,True,publishedVersion,unspecified-oa
2051163018,2764455111,pmc/articles/PMC3278921,,True,publishedVersion,
2051163018,4306402527,id/eprint/18535/1/217276.pdf,id/eprint/18535/1/217276.pdf,True,acceptedVersion,cc-by
2051163018,4306525036,22347670,,False,,
2051165166,203684691,10.1037//0735-7028.6.3.272,,False,,
2051165205,122591147,10.1016/j.exger.2006.06.022,,False,,
2051165229,41046285,10.1007/s00535-013-0754-9,,False,,
2051165229,4306525036,23381100,,False,,
2051165252,39653451,10.1055/s-0028-1084609,,False,,
2051165970,2764865924,10.1080/03015521.1988.10425626,,False,,
2051167109,106840945,10.1016/0031-9201(91)90083-t,,False,,
2051167116,4210173186,10.1007/bf01349361,,False,,
2051167881,4210226971,10.3406/mefr.1955.7401,,False,,
2051168629,4210184375,10.3406/reg.1924.5125,,False,,
2051170518,146636433,10.1107/s1600536806025803,,False,,
2051170911,26544713,10.1086/603689,,False,,
2051171033,183492911,10.1117/12.904482,,False,,
2051171777,128122872,10.1016/j.crma.2015.04.005,,False,,
2051171777,4306402512,hal-01257353,,False,,
2051171777,4306402512,hal-01257353,,False,,
2051171777,4377196128,mathematique/articles/10.1016/j.crma.2015.04.005/,mathematique/item/10.1016/j.crma.2015.04.005.pdf,True,publishedVersion,
2051172176,9051360,10.1007/s100510170320,,False,,
2051172176,4306400194,abs/cond-mat/0007044,pdf/cond-mat/0007044,True,submittedVersion,
2051173030,117080907,10.4275/kslis.2013.47.3.139,sv/SV_svpsbs03V.do?method=download&cn1=JAKO201336447766466,True,publishedVersion,
2051173461,189124062,10.1007/bf01252924,,False,,
2051173461,4306525036,3377092,,False,,
2051174634,187991544,10.1063/1.3561794,,False,,
2051175437,177095789,10.1258/135626204322756529,,False,,
2051176443,3649266,10.1016/0304-8853(86)90403-8,,False,,
2051176778,44484883,10.1002/bimj.19630050408,,False,,
2051177858,92829914,10.1061/(asce)0733-9429(2006)132:5(540),,False,,
2051177922,192814187,10.1136/bmj.2.6034.531-a,content/bmj/2/6034/531.1.full.pdf,True,publishedVersion,
2051177922,4306400806,articles/pmc1687976,articles/pmc1687976?pdf=render,True,publishedVersion,
2051177922,2764455111,pmc/articles/PMC1687976,,True,publishedVersion,
2051177922,4306525036,953677,,False,,
2051178226,96336627,10.3795/ksme-b.2012.36.10.971,,False,,
2051178495,59012888,10.1088/0031-8949/49/6/006,article/10.1088/0031-8949/49/6/006/pdf,True,publishedVersion,
2051178596,4210216427,10.1016/s0020-7292(09)60875-4,,False,,
2051178702,16731738,10.1016/0959-8049(95)95928-y,,False,,
2051178779,168682784,10.1108/k-07-2014-0159,,False,,
2051178923,121986758,10.1007/bf00651283,,False,,
2051178999,47679038,10.1163/156852553x00398,,False,,
2051179204,64800834,10.1002/1096-9896(200012)192:4<562::aid-path791>3.0.co;2-#,,False,,
2051179649,122355471,10.1297/cpe.14.27,article/cpe/14/1/14_1_27/_pdf,True,publishedVersion,
2051179649,4306400806,articles/pmc4004929,articles/pmc4004929?pdf=render,True,publishedVersion,cc-by-nc-nd
2051179649,2764455111,pmc/articles/PMC4004929,,True,publishedVersion,
2051179649,4306525036,24790307,,False,,
2051180529,23544583,10.5935/0103-5053.20130124,,True,publishedVersion,cc-by
2051180529,4306402641,scielo.php?script=sci_arttext&pid=S0103-50532013000300021,j/jbchs/a/WwFLmHrS88y7Tjsqxrg6WLR/?lang=en&format=pdf,True,publishedVersion,cc-by-nc
2051180794,149937609,10.1016/j.cej.2014.10.095,,False,,
2051181815,62401924,10.1080/01621459.1951.10500806,,False,,
2051182473,4210173341,10.1080/03147538208712192,,False,,
205118251,78512408,10.1007/s10460-013-9453-7,,False,,
2051182868,67425620,10.4028/www.scientific.net/amr.765-767.1867,,False,,
205118305,157768969,10.1163/9789401206020_008,,False,,
2051183204,4210189509,10.1364/josa.47.000975,,False,,
2051183401,157344032,10.1002/(sici)1099-1395(199806)11:6<407::aid-poc5>3.0.co;2-g,,False,,
2051183471,135405885,10.5840/teachphil199417439,,False,,
2051183609,51499565,10.1353/dss.2014.0028,,False,,
2051184819,4210167977,10.15611/pn.2014.330.10,,False,,
2051184819,4377196276,dlibra/publication/edition/25412/content,Content/25412/PDF/Ganc_Wplyw_Do_Budzetow_Gmin_Przy_Wprowadzeniu_2014.pdf,True,submittedVersion,
205118494,4306512183,servlet/articulo?codigo=646355,,False,,
2051185615,183492911,10.1117/12.742587,,False,,
2051186739,73080522,10.1177/009155217600300310,,False,,
2051187688,4210215636,10.1051/jphyscol:19786385,,False,,
2051187688,4306400349,viewdoc/summary?doi=10.1.1.551.8686,docs/00/21/78/53/PDF/ajp-jphyscol197839C6385.pdf,True,submittedVersion,
2051187689,54862371,10.1103/physrev.171.1798,,False,,
2051188820,4210189887,10.2307/2950830,,False,,
2051190006,4210197758,10.1007/bf01051170,,False,,
2051190936,80821584,10.1007/s10396-013-0474-z,,False,,
2051190936,4306525036,27277631,,False,,
2051191844,69872077,10.1016/0263-7863(83)90053-4,,False,,
2051192056,4210173577,10.2307/3771675,,False,,
2051192453,178325816,10.1134/s1070427206010010,,False,,
2051192594,4210203372,10.1080/00378941.1920.10836194,doi/pdf/10.1080/00378941.1920.10836194?needAccess=true,True,publishedVersion,
