concept_id,related_concept_id,score
105794591,193772553,3.738926600000001
105794591,66562760,3.6654562999999993
105794591,27799899,2.7876542
105794591,178429038,2.7011144
105794591,49133459,2.5152516
105794591,139358910,2.4583724
105794591,193547582,2.3753302000000005
105794591,112613896,2.2299345
105794591,147192597,2.1170647
105794591,95269574,2.1084118
105794591,147597530,2.0909078
105794591,77758465,2.0467603
105794591,74561354,1.8067483
105794591,189394030,1.7993188999999998
127086826,19184958,5.723864
127086826,58024561,4.818821400000001
127086826,188596812,4.1994432999999995
127086826,97355855,4.0977573
127086826,20556612,3.4386382000000006
127086826,146477669,3.411321
127086826,149288129,3.2890482000000003
127086826,61441594,3.14685
127086826,119820323,2.943539
127086826,97278139,2.8120293999999997
127086826,68656383,2.7084231
127086826,3288061,2.5892756
127086826,119787686,2.4864113
127086826,65494353,2.418388
127086826,195801359,2.0776388999999997
127086826,18747710,1.8671514
127086826,197843891,1.3763561000000002
127086826,85272257,1.1888565
144403538,119677069,2.0446448
144403538,137559481,1.6424763
144403538,191421660,1.2548071
144403538,113429393,1.2501871999999998
144403538,30860621,1.0928444
144403538,56781331,1.0134311
144403538,187834632,0.9538065999999998
144403538,108741685,0.89579254
169426311,152361515,3.5472226000000004
169426311,111603439,3.3294506
169426311,112124176,3.14908
169426311,13393347,3.1308877
169426311,90278072,2.9275092999999996
169426311,49221354,2.3694167
169426311,110050840,2.2738686
169426311,207390838,2.1336458
169426311,97257150,2.0438645
169426311,100086909,1.8885819
169426311,56200935,1.6744564999999998
169426311,39643299,1.6325169
169426311,77576233,1.5801846000000002
169426311,527307,1.4025044
169426311,70477161,1.352273
191463242,121040770,4.2177606
191463242,22789450,3.2135097999999997
191463242,105141246,3.104019
191463242,158693339,2.5218856
191463242,15706264,2.3508375
191463242,56911000,2.2263281000000004
191463242,158587675,2.204468
191463242,187486625,2.1938312
191463242,62799726,2.1619318
191463242,55795843,2.1521115
191463242,51255310,2.1429465
191463242,203087015,2.0377834
191463242,180623205,1.9901503
191463242,206003972,1.7330406000000005
191463242,32270708,1.6013814
191463242,4119822,1.3198518
191463242,71799126,0.96479946
199789176,43827410,5.4546447
199789176,46973012,4.745283000000001
199789176,2776442470,3.0410513999999997
199789176,2778234026,2.7402341
199789176,2777042810,2.7230703999999997
199789176,2779066055,2.720323
199789176,1998276,2.6828144
199789176,2778914748,2.296097
199789176,196843134,2.2282977
199789176,2780655333,1.8591664
199789176,2778177303,1.8072739
199789176,116134602,1.6135823
199789176,2780451601,1.5985159
199789176,539274931,1.497065
199789176,2777612826,1.4883771
199789176,159879943,1.455926
199789176,2779552062,1.415931
199789176,120863692,1.4086386999999998
27036048,47884741,4.7716675
27036048,86523455,4.7328
27036048,69562738,3.6741998
27036048,100481476,3.1317406
27036048,39685927,3.1168148999999996
27036048,47030870,2.7752717
27036048,10282146,2.5173886000000003
27036048,74992188,1.8075517
27036048,178421362,1.7758048
27036048,203254541,1.7070735
27036048,153046414,1.6554741000000002
27036048,161445131,1.655464
27036048,27508121,1.609473
27036048,185701065,1.6061578
27036048,2778790127,0.8105121999999999
2776446210,2776017750,11.146899
2776446210,2778241727,9.03595
2776446210,43827410,6.668118499999999
2776446210,2779084665,6.621983
2776446210,2780071441,6.576189
2776446210,2775969353,5.877337000000001
2776446210,2780038584,5.691379
2776446210,2777616031,5.688797
2776446210,2777714001,5.520713
2776446210,2780610420,5.283658999999999
2776446210,2777134397,5.157499
2776446210,2776190662,5.069929
2776446210,2781126499,4.883647
2776446210,2777575432,4.7318397
2776446210,2780543054,3.3142567
2776551893,79736613,4.0351233
2776551893,115047598,3.9038842
2776551893,79118098,3.688963
2776551893,52233224,3.4791687000000007
2776551893,116674579,2.5971742
2776551893,159317903,2.4619063999999997
2776551893,49987212,2.155549
2776551893,62520636,2.1461139
2776551893,110340908,2.120107
2776551893,92729435,2.0135886999999997
2776551893,158129726,1.9396867
2776551893,108568745,1.7390517
2776551893,130044071,1.6910838
2776551893,102999125,1.6901243
2776551893,2777446375,1.6255275
2776551893,181830111,1.6048818
2776551893,2778315469,1.5962293
2777001577,2776337453,1.7892392
2777001577,2776662227,1.7852231
2777001577,2779651940,1.5936726
2777001577,2781223406,1.5313728000000002
2777001577,2781017439,1.2726135
2777001577,143409427,1.2674903
2777001577,2778604727,1.2474432
2777001577,2779265215,1.192705
2777001577,2779470809,1.1870565
2777001577,2776403516,1.1835613
2777001577,101054994,1.1743919
2777001577,2781026528,1.1360843
2777001577,2777861590,1.1154122
2777001577,2776473159,1.1039621000000002
2777001577,2779862588,1.0975447
2777001577,2776683126,1.0920461
2777223228,2776992908,1.0156592
2778310818,2776964284,4.051108999999999
2778310818,2777801237,3.8162038
2778310818,2779704304,3.3663576
2778310818,2781066024,3.1926255
2778310818,2778913249,3.0800111
2778310818,2778123984,2.6873071
2778310818,2777516009,2.5131743
2778310818,2780910873,2.4021854
2778310818,2775897365,2.29066
2778310818,100805817,2.2547429
2778310818,2778927371,2.1497283
2778310818,161790260,2.0812664
2778310818,2777064678,2.0599928
2778310818,74525527,1.9481568
2778310818,2779717098,1.8965443
2778310818,2780407432,1.8919605
2778310818,2781171460,1.8792425
2778310818,2777962934,1.558593
2778310818,65646983,1.425182
2778310818,2781216929,1.283729
2778310818,2777063198,1.2225826000000002
2778310818,2777897440,1.0635829
2778310818,2780306666,1.0153021
