concept_id,openalex,wikidata,wikipedia,umls_aui,umls_cui,mag
150631331,150631331,959549,Shell%20script,,,150631331
35387230,35387230,2093624,Middle%20English%20literature,,,35387230
86803240,86803240,420,Biology,,"[""C0005532""]",86803240
71924100,71924100,11190,Medicine,,"[""C0013227""]",71924100
185592680,185592680,2329,Chemistry,,"[""C0079107""]",185592680
41008148,41008148,21198,Computer%20science,,"[""C0599726""]",41008148
121332964,121332964,413,Physics,,"[""C0031837""]",121332964
126322002,126322002,11180,Internal%20medicine,,"[""C0021782""]",126322002
55493867,55493867,7094,Biochemistry,,"[""C0005477""]",55493867
33923547,33923547,395,Mathematics,,"[""C0024934""]",33923547
192562407,192562407,228736,Materials%20science,,"[""C4505209""]",192562407
127413603,127413603,11023,Engineering,,"[""C0014279""]",127413603
178790620,178790620,11351,Organic%20chemistry,,"[""C0008002""]",178790620
54355233,54355233,7162,Genetics,,"[""C0017399""]",54355233
104317684,104317684,7187,Gene,,"[""C0017337""]",104317684
15744967,15744967,9418,Psychology,,"[""C0033909""]",15744967
62520636,62520636,944,Quantum%20mechanics,,"[""C0034385""]",62520636
162324750,162324750,8134,Economics,,"[""C0013556""]",162324750
154945302,154945302,11660,Artificial%20intelligence,,"[""C0003916""]",154945302
142724271,142724271,7208,Pathology,,"[""C0030664""]",142724271
138885662,138885662,5891,Philosophy,,"[""C0031534""]",138885662
17744445,17744445,36442,Political%20science,,"[""C0335116""]",17744445
159985019,159985019,181790,Composite%20material,,"[""C0205199""]",159985019
144024400,144024400,21201,Sociology,,"[""C0037468""]",144024400
18903297,18903297,7150,Ecology,,"[""C0013546""]",18903297
95444343,95444343,7141,Cell%20biology,,"[""C0010819""]",95444343
199539241,199539241,7748,,,"[""C0728724""]",199539241
120665830,120665830,14620,Optics,,"[""C0029144""]",120665830
134018914,134018914,162606,Endocrinology,,"[""C0014137""]",134018914
203014093,203014093,101929,Immunology,,"[""C1522005""]",203014093
199360897,199360897,9143,Programming%20language,,"[""C0033348""]",199360897
127313418,127313418,1069,Geology,,"[""C0017448""]",127313418
169760540,169760540,207011,Neuroscience,,"[""C0027817""]",169760540
171250308,171250308,11468,Nanotechnology,,"[""C0872323""]",171250308
105795698,105795698,12483,Statistics,,"[""C0038215""]",105795698
141071460,141071460,40821,Surgery,,"[""C0038895""]",141071460
205649164,205649164,1071,Geography,,"[""C0017447""]",205649164
2908647359,2908647359,2625603,Population,"[""A0103552"", ""A0103553"", ""A0103554"", ""A16036677"", ""A16039783"", ""A18593434"", ""A23865544"", ""A24106799"", ""A28729226"", ""A2885714"", ""A7560979"", ""A7573122""]","[""C0032659""]",2908647359
151730666,151730666,7205,Paleontology,,"[""C0030224""]",151730666
144133560,144133560,4830453,Business,,"[""C0683757""]",144133560
39432304,39432304,188847,Environmental%20science,,"[""C4759722""]",39432304
2524010,2524010,8087,Geometry,,"[""C0449829""]",2524010
97355855,97355855,11473,Thermodynamics,,"[""C0039808""]",97355855
118552586,118552586,7867,Psychiatry,,"[""C0205487""]",118552586
43617362,43617362,170050,Chromatography,,"[""C0008550""]",43617362
